"rank","country","finalIq","pop2021"
"1","Singapore","107","5896.6860"
"2","China","105","1444216.1070"
"3","Hong Kong","105","7552.8100"
"4","Japan","104","126050.8040"
"5","South Korea","104","51305.1860"
"6","North Korea","104","25887.0410"
"7","Taiwan","104","23855.0100"
"8","Canada","100","38067.9030"
"9","Netherlands","100","17173.0990"
"10","Switzerland","100","8715.4940"
"11","Finland","100","5548.3600"
"12","Mongolia","100","3329.2890"
"13","Liechtenstein","100","38.2500"
"14","United Kingdom","99","68207.1160"
"15","Australia","99","25788.2150"
"16","Belgium","99","11632.3260"
"17","Austria","99","9043.0700"
"18","Estonia","99","1325.1850"
"19","Germany","98","83900.4730"
"20","France","98","65426.1790"
"21","Czech Republic","98","10724.5550"
"22","Sweden","98","10160.1690"
"23","Hungary","98","9634.1640"
"24","Slovakia","98","5460.7210"
"25","New Zealand","98","4860.6430"
"26","Iceland","98","343.3530"
"27","United States","97","332915.0730"
"28","Denmark","97","5813.2980"
"29","Norway","97","5465.6300"
"30","Croatia","97","4081.6510"
"31","Slovenia","97","2078.7240"
"32","Andorra","97","77.3550"
"33","Russia","96","145912.0250"
"34","Italy","96","60367.4770"
"35","Spain","96","46745.2160"
"36","Poland","96","37797.0050"
"37","Belarus","95","9442.8620"
"38","Latvia","95","1866.9420"
"39","Luxembourg","95","634.8140"
"40","Malta","95","442.7840"
"41","Vietnam","94","98168.8330"
"42","Ukraine","94","43466.8190"
"43","Portugal","94","10167.9250"
"44","Israel","94","8789.7740"
"45","Ireland","94","4982.9070"
"46","Lithuania","94","2689.8620"
"47","Greece","93","10370.7440"
"48","Bulgaria","93","6896.6630"
"49","Armenia","93","2968.1270"
"50","Argentina","92","45605.8260"
"51","Cambodia","92","16946.4380"
"52","Moldova","92","4024.0190"
"53","Malaysia","91","32776.1940"
"54","Romania","91","19127.7740"
"55","Cyprus","91","1215.5840"
"56","Greenland","91","56.8770"
"57","Serbia","90","8697.5500"
"58","Uruguay","90","3485.1510"
"59","Bermuda","90","62.0900"
"60","Turkey","89","85042.7380"
"61","Thailand","89","69950.8500"
"62","Chile","89","19212.3610"
"63","Laos","89","7379.3580"
"64","Suriname","89","591.8000"
"65","Brunei","89","441.5320"
"66","Cook Islands","89","17.5650"
"67","Ecuador","88","17888.4750"
"68","Mauritius","88","1273.4330"
"69","Samoa","88","200.1490"
"70","Mexico","87","130262.2160"
"71","Iraq","87","41179.3500"
"72","Bolivia","87","11832.9400"
"73","United Arab Emirates","87","9991.0890"
"74","Philippines","86","111046.9130"
"75","Jordan","86","10269.0210"
"76","Costa Rica","86","5139.0520"
"77","Georgia","86","3979.7650"
"78","Trinidad and Tobago","86","1403.3750"
"79","Tonga","86","106.7600"
"80","Indonesia","85","276361.7830"
"81","Brazil","85","213993.4370"
"82","Iran","85","85028.7590"
"83","Myanmar","85","54806.0120"
"84","Kazakhstan","85","18994.9620"
"85","Tunisia","85","11935.7660"
"86","Cuba","85","11317.5050"
"87","Libya","85","6958.5320"
"88","Kuwait","85","4328.5500"
"89","Bahrain","85","1748.2960"
"90","Fiji","85","902.9060"
"91","Montenegro","85","628.0530"
"92","New Caledonia","85","288.2180"
"93","Kiribati","85","121.3920"
"94","Pakistan","84","225199.9370"
"95","Algeria","84","44616.6240"
"96","Peru","84","33359.4180"
"97","Azerbaijan","84","10223.3420"
"98","Paraguay","84","7219.6380"
"99","Lebanon","84","6769.1460"
"100","Nicaragua","84","6702.3850"
"101","Oman","84","5223.3750"
"102","Palestine","84","5222.7480"
"103","Bahamas","84","396.9130"
"104","Vanuatu","84","314.4640"
"105","Micronesia","84","116.2540"
"106","Seychelles","84","98.9080"
"107","Marshall Islands","84","59.6100"
"108","Colombia","83","51265.8440"
"109","Venezuela","83","28704.9540"
"110","Solomon Islands","83","703.9960"
"111","India","82","1393409.0380"
"112","Egypt","82","104258.3270"
"113","Morocco","82","37344.7950"
"114","Madagascar","82","28427.3280"
"115","Syria","82","18275.7020"
"116","Dominican Republic","82","10953.7030"
"117","Albania","82","2872.9330"
"118","Bangladesh","81","166303.4980"
"119","Honduras","81","10062.9910"
"120","Guyana","81","790.3260"
"121","Maldives","81","543.6170"
"122","Uzbekistan","80","33935.7630"
"123","Yemen","80","30490.6400"
"124","Tajikistan","80","9749.6270"
"125","Turkmenistan","80","6117.9240"
"126","Panama","80","4381.5790"
"127","Qatar","80","2930.5280"
"128","Barbados","80","287.7110"
"129","Saudi Arabia","79","35340.6830"
"130","Sri Lanka","79","21497.3100"
"131","Guatemala","79","18249.8600"
"132","Nepal","78","29674.9200"
"133","El Salvador","78","6518.4990"
"134","Bhutan","78","779.8980"
"135","Sudan","77","44909.3530"
"136","Comoros","77","888.4510"
"137","Rwanda","76","13276.5130"
"138","Botswana","76","2397.2410"
"139","Cape Verde","76","561.8980"
"140","Belize","76","404.9140"
"141","Afghanistan","75","39835.4280"
"142","Eritrea","75","3601.4670"
"143","Djibouti","75","1002.1870"
"144","Kenya","74","54985.6980"
"145","Zambia","74","18920.6510"
"146","Kyrgyzstan","74","6628.3560"
"147","Mauritania","74","4775.1190"
"148","Grenada","74","113.0210"
"149","Antigua and Barbuda","74","98.7310"
"150","Saint Kitts and Nevis","74","53.5440"
"151","Tanzania","73","61498.4370"
"152","Republic of the Congo","73","5657.0130"
"153","Somalia","72","16359.5040"
"154","Zimbabwe","72","15092.1710"
"155","Burundi","72","12255.4330"
"156","Nigeria","71","211400.7080"
"157","South Africa","71","60041.9940"
"158","Uganda","71","47123.5310"
"159","Angola","71","33933.6100"
"160","Ivory Coast","71","27053.6290"
"161","Benin","71","12451.0400"
"162","Jamaica","71","2973.4630"
"163","Saint Vincent and the Grenadines","71","111.2630"
"164","Niger","70","25130.8170"
"165","Burkina Faso","70","21497.0960"
"166","Senegal","70","17196.3010"
"167","Togo","70","8478.2500"
"168","Namibia","70","2587.3440"
"169","Mozambique","69","32163.0470"
"170","Ghana","69","31732.1290"
"171","Mali","69","20855.7350"
"172","Gabon","69","2278.8250"
"173","Guinea-Bissau","69","2015.4940"
"174","Equatorial Guinea","69","1449.8960"
"175","Ethiopia","68","117876.2270"
"176","DR Congo","68","92377.9930"
"177","Liberia","68","5180.2030"
"178","Haiti","67","11541.6850"
"179","Sao Tome and Principe","67","223.3680"
"180","Dominica","67","72.1670"
"181","Chad","66","16914.9850"
"182","Guinea","66","13497.2440"
"183","Lesotho","66","2159.0790"
"184","Cameroon","64","27224.2650"
"185","Sierra Leone","64","8141.3430"
"186","Central African Republic","64","4919.9810"
"187","Gambia","62","2486.9450"
"188","Saint Lucia","62","184.4000"
"189","Malawi","60","19647.6840"